file_id,filename,title,type,publisher,year,pages,format,language,tier,tier_reason,topic_primary,topic_secondary,keywords,key_chapters_sections,key_figures_data,relevance_tags,source_path,notes,archive_summary
F001,2024_ipsri_silicon_photonics_updated_v2.pdf,IPSR-I Enabling Technologies: Silicon Photonics (2024 Roadmap),Technical Roadmap,IPSR-I (Integrated Photonic Systems Roadmap - International),2024,35,PDF,English,CORE,"SiPh roadmap 2024 — tham chiếu thường xuyên cho tech specs, timelines",Silicon Photonics Roadmap & Manufacturing,"PDK, Workforce, Electronic-Photonic Integration",silicon photonics; photonic roadmap; waveguides; modulators; photodetectors; lasers; PDK; SOI; manufacturing; lithography; etching; packaging; electronic-photonic integration; workforce; IPSR-I; MZI; I/O coupler; isolator,Executive Summary; Infrastructure Analysis; Manufacturing Equipment; Wafer Materials; PDK & Design Automation; Quality/Reliability; TIM; Manufacturing Platforms; Roadmap of Key Attributes; Critical Infrastructure Issues; Workforce; Appendix,Roadmap tables for waveguides/modulators/photodetectors/lasers; Technology node forecasts to 2030+; Manufacturing cost trends,roadmap; manufacturing; platform; foundry; design,/mnt/project/2024_ipsri_silicon_photonics_updated_v2.pdf,"Zip-encoded PDF, contains jpeg+txt per page. Covers near-IR + emerging platforms. Authoritative roadmap for SiPh industry.",
F002,2504_01463v2.pdf,Versatile Silicon Integrated Photonic Processor: A Reconfigurable Solution for Next-Generation AI Clusters,Research Paper (arXiv preprint),arXiv / NOEIC (CICT China) / Peng Cheng Laboratory,2025,21,PDF,English,CORE,SiPh AI processor — nghiên cứu chính trong project,AI + Silicon Photonics / Photonic Computing,Reconfigurable PIC; Matrix Multiplication; AI Accelerator,silicon photonics; AI computing cluster; photonic processor; reconfigurable chip; matrix multiplication; neural networks; optical switching; PUF encryption; MZI; microring modulator; AI cluster; GPU; PIC; software-defined hardware; test automation,"Abstract; Introduction; Chip Architecture (40 programmable cells, 160+ components); 4x4 unitary matrix multiplication; Image recognition NN; Wavelength locking; Channel switching; Physical Unclonable Functions; Software stack",Chip layout; 4x4 dual-direction unitary matrix; 3x3 non-unitary matrix; NN accuracy benchmarks; switching crosstalk; PUF uniqueness metrics,AI; photonic computing; reconfigurable; PIC; matrix; neural network,/mnt/project/2504_01463v2.pdf,"arXiv:2504.01463v2, published Sep 2025. First chip to demonstrate diverse AI cluster functions (compute + switch + encrypt) on a single SiPh processor.",
F003,Photonics_for_AI_final.pdf,AI Desperately Needs Photonics,Industry White Paper,Photonics21 (European Technology Platform) / TEMATYS,2025,23,PDF,English,CORE,"Photonics21 white paper — chiến lược AI+photonics, policy analysis",AI + Photonics / Policy & European Industry Strategy,Optical interconnects; Energy efficiency; Data center; Market outlook,photonics for AI; AI infrastructure; optical interconnects; data center; energy efficiency; photonic computing; European photonics; Photonics21; LiDAR; sensing; co-packaged optics; CPO; transceiver; bandwidth; power consumption,Why AI needs photonics; Data center interconnects; Energy bottleneck; European photonics ecosystem; Policy recommendations; Market forecasts,AI power consumption trends; Data center bandwidth requirements; European photonics market size; Investment gaps vs. US/Asia,AI; policy; Europe; energy; data center; market,/mnt/project/Photonics_for_AI_final.pdf,"Published by Photonics21 (EU platform). Policy-oriented, targets European stakeholders and policymakers. Complements technical roadmaps with market/strategic view.",
F004,pub_3709.pdf,Handbook of Silicon Photonics – Ch. 6: Long-Wavelength Photonic Circuits,Book Chapter (Handbook),CRC Press / Taylor & Francis – Handbook of Silicon Photonics,2013,38,PDF,English,ARCHIVE,"Handbook Ch6 Mid-IR — textbook reference, fundamental physics",Silicon Photonics Fundamentals – Mid-Infrared & Long-Wavelength,Nonlinear optics; SiGe lasers; Chalcogenide waveguides; Heterogeneous integration,mid-infrared photonics; silicon-on-insulator; SOI; silicon-on-sapphire; silicon-on-porous-silicon; chalcogenide waveguides; nonlinear optics; Raman amplification; two-photon absorption; quantum cascade laser; SiGe; THz laser; photodetectors; mid-IR; heterogeneous integration; group IV photonics,"6.1 Introduction; 6.2 Passive Devices (SOI/SOS/SiPS/Chalcogenide); 6.3 Nonlinear Effects in Si Mid-IR; 6.4 Long-Wavelength Sources & Detectors (QCL, THz, SiGe detectors); 6.5 Mid-IR Heterogeneous Integration",Waveguide loss vs wavelength; Two-photon absorption coefficient; Raman gain spectra; QCL threshold current; SiGe band structure,mid-IR; nonlinear; SOI; waveguide; laser; detector; fundamentals,/mnt/project/pub_3709.pdf,"Chapter 6 of the Handbook of Silicon Photonics (CRC Press, ~2013). Reference textbook content, not time-sensitive. Authors: Mashanovich, Milošević, Zlatanovic, Gholami, Roelkens et al.","## Handbook of Silicon Photonics — Chapter 6: Long-Wavelength Photonic Circuits (CRC Press, ~2013, 38pp)
### Nguồn: Mashanovich, Milošević, Zlatanovic, Gholami, Radic, Ikonic, Kelsall, Roelkens

### Chapter Structure:
**6.1 Introduction** — Mid-IR silicon photonics rationale; applications: sensing, medical diagnostics, free-space comms, thermal imaging, IR countermeasures

**6.2 Passive Devices for Mid-IR Silicon Photonics**
- Silicon-on-Insulator (SOI): waveguide loss, 3.4–5.5 μm range
- Silicon-on-Sapphire (SOS): better transparency window
- Silicon-on-Porous Silicon: low-cost alternative
- Chalcogenide waveguides: broadband transparency, high nonlinearity

**6.3 Nonlinear Effects in Silicon Mid-IR**
- Two-photon absorption (TPA) coefficient vs wavelength
- Three-photon absorption above 2.2 μm
- Free-carrier effects, plasma dispersion
- Mid-IR Raman amplification
- Self-phase modulation, four-wave mixing, parametric amplification

**6.4 Long-Wavelength Sources & Detectors**
- Quantum cascade lasers (QCL): threshold current density, wallplug efficiency
- Intracenter THz lasers (Si:P, Si:B)
- Si/SiGe quantum well infrared photodetectors (QWIP)
- SiGe quantum dot detectors
- Si/SiGe micro-bolometers

**6.5 Mid-IR Heterogeneous Integration** (Roelkens)
- III-V bonding on Si substrates
- Similar approach to near-IR demonstrated platforms

### Key Figures/Data:
- Waveguide propagation loss: SOI @ 3.4–4.4 μm; SOS @ 5.5 μm; SiPS various
- TPA coefficient β: ~0.5 cm/GW @ 1.55 μm → near zero @ 2.2+ μm
- QCL threshold: ~1–5 kA/cm²; wallplug η <30% room temp

### Lý do Archive: Textbook reference (2013), fundamental physics. Không query hàng ngày. Dùng khi cần lý thuyết cơ bản về mid-IR photonics."
F005,s41467023390477.pdf,A Heterogeneously Integrated Lithium Niobate-on-Silicon Nitride Photonic Platform,Research Paper (Nature Communications),Nature Communications / EPFL / IBM Research Europe,2023,9,PDF,English,ARCHIVE,"LiNbO3-SiN Nature Comms — specific research ref, EO modulators",Photonic Platform Materials – LiNbO3 on Si3N4,Electro-optic modulator; Wafer bonding; Foundry-compatible process,lithium niobate; LiNbO3; silicon nitride; Si3N4; electro-optic modulator; heterogeneous integration; wafer bonding; PDK; low-loss waveguide; fiber-to-chip coupling; SmartCut; microresonator; frequency comb; EPFL; IBM; adiabatic mode converter; CMOS voltage,Abstract; Introduction; Platform design & fabrication; Adiabatic mode converter; Waveguide propagation loss; Fiber coupling; EO modulator performance; Nonlinear photonics applications; Methods,Propagation loss <0.1 dB/cm; Fiber coupling <2.5 dB/facet; Mode converter IL <0.1 dB; EO modulation bandwidth >100 GHz; Wafer-scale fabrication yield,LiNbO3; Si3N4; electro-optic; heterogeneous integration; wafer bonding; modulator; foundry,/mnt/project/s41467023390477.pdf,DOI: 10.1038/s41467-023-39047-7. Published Nature Communications 2023. Kippenberg group (EPFL) + IBM Zurich. Key paper for LiNbO3-on-SiN integration platform.,"## A Heterogeneously Integrated Lithium Niobate-on-Silicon Nitride Photonic Platform (Nature Comms, 2023)
### DOI: 10.1038/s41467-023-39047-7 | EPFL (Kippenberg group) + IBM Research Zurich

### Platform Architecture:
- Wafer-scale bonding của thin-film LiNbO3 (LNOI) lên Si3N4 photonic circuits
- SmartCut™ technique để transfer LiNbO3 thin-film
- Standard strip waveguide geometry (vs ridge waveguides trong non-standard LNOI)
- Adiabatic mode converters giữa Si3N4 passive và LiNbO3 EO sections

### Key Performance Metrics:
- Propagation loss: **<0.1 dB/cm** (inherit từ Si3N4)
- Fiber-to-chip coupling: **<2.5 dB/facet**
- Mode converter insertion loss: **<0.1 dB**
- EO modulation bandwidth: **>100 GHz**
- Resonator Q factor: consistent across wafer (không chỉ selected resonances)

### Key Demonstrations:
1. EO modulators tại CMOS voltage levels + high speed (>100 GHz)
2. Efficient second-harmonic generation
3. Optical squeezing potential
4. Kerr comb generation
5. Fiber-to-chip coupling với standard inverse taper

### Significance:
Giải quyết 3 problems của LNOI trước đây: (1) non-standard IBE etching → dùng Si3N4 foundry process, (2) high fiber coupling loss → <2.5dB, (3) inconsistent Q factors → wafer-scale uniformity. First foundry-ready PDK-compatible LiNbO3 platform.

### Lý do Archive: Specific research paper 9pp. Dùng khi discuss LiNbO3 integration, EO modulators. Không cần query thường ngày."
F006,soi_tsem_role_in_siph_stack.html,SOI vs TSEM — Role in Silicon Photonics Stack,Interactive Visualization (HTML),Custom / Internal,2025,1,HTML,English/Vietnamese,CORE,Visualization nội bộ — dùng để present,Technology Platform Comparison – SOI vs TSEM,Silicon Photonics Stack; Visual diagram,SOI; TSEM; silicon photonics stack; technology comparison; photonic platform; substrate; visualization; diagram,SVG diagram of SiPh stack layers; Cards: SOI properties vs TSEM properties; Flow diagram,Qualitative comparison of SOI and TSEM roles in silicon photonics manufacturing stack,SOI; TSEM; comparison; visualization; platform; stack,/mnt/project/soi_tsem_role_in_siph_stack.html,Single-page interactive HTML. Custom-made visualization. No quantitative data — qualitative/conceptual only.,
F007,SIA_2024_StateofIndustryReport.pdf,State of the U.S. Semiconductor Industry 2024,Industry Report,SIA (Semiconductor Industry Association),2024,33,PDF,English,CORE,"SIA State of Industry 2024 — flagship report, query thường xuyên",U.S. Semiconductor Industry Overview 2024,CHIPS Act; Workforce; Geopolitics; Trade; Supply Chain Rebalancing,SIA; semiconductor industry; CHIPS Act; workforce; talent pipeline; sustainability; supply chain; geopolitics; trade; market share; demand drivers; global market; US competitiveness; fab investment; incentives,CHIPS Implementation; Semiconductor Workforce; Expanding Talent Pipeline; Sustainability; Supply Chain Rebalancing; Government Chip Strategies; Trade and Semiconductors; Geopolitics; Global Semiconductor Market; Demand Drivers; Global Market Data,"U.S. market share data; CHIPS Act investment tracking; Global fab capacity by region; Workforce demand/supply gap; Sales by end market (auto, mobile, AI, industrial)",SIA; CHIPS Act; geopolitics; workforce; US; market; supply chain; 2024,/mnt/project/SIA_StateofIndustryReport_2024_final_091124.pdf,Published Sep 2024. Flagship annual report from SIA. 33 pages. Comprehensive view of US semiconductor policy and industry health. [Renamed from _final_091124 — duplicate removed Apr 2026],
F008,SIA2024Factbook.pdf,SIA 2024 Factbook,Industry Data Report,SIA (Semiconductor Industry Association),2024,27,PDF,English,ARCHIVE,Data charts — companion State of Industry; verify số liệu cụ thể,U.S. Semiconductor Industry – Data & Market Share,Sales trends; Manufacturing capacity; R&D investment; Exports,SIA; factbook; market share; US semiconductor sales; global sales; manufacturing capacity; R&D investment; exports; industry overview; employment; fabless; IDM; foundry; revenue; growth,Section 1: Industry Overview; Section 2: U.S. Competitiveness; Section 3: Manufacturing; Section 4: R&D; Section 5: Trade; Section 6: Workforce; Figures list (charts & graphs),US ~47% global market share; Annual sales figures; Capacity by geography; R&D spend as % of revenue; Export volumes; Employment numbers,SIA; factbook; market share; data; US; manufacturing; R&D; 2024,/mnt/project/SIA2024Factbook.pdf,Published May 2024. Data-heavy companion to State of Industry Report. 27 pages with charts and figures.,"## SIA 2024 Factbook (May 2024, 27pp)
### Nguồn: SIA — data companion cho State of Industry Report

### Key Data Points:
- US semiconductor market share: ~47% của global market (gần $300B/năm)
- US industry sales growth: steady YoY từ 2001–2023
- Manufacturing: US chiếm ~12% global fab capacity (trước CHIPS Act)
- R&D: US semicon firms chi ~20% revenue cho R&D (top globally)
- Employment: ~277K direct jobs tại US; millions indirect
- Exports: semiconductors = một trong những export lớn nhất của US

### 6 Sections:
1. Industry Overview — market size, growth
2. U.S. Competitiveness — market share trends
3. Manufacturing — capacity, capex by region
4. R&D — investment trends
5. Trade — export/import flows, top trading partners
6. Workforce — employment, skills gap

### Data Sources: WSTS, SEC 10K/10Q filings, USITC trade data (2001–2023)

### Lý do Archive: Visual/chart-heavy, ít text. Core data đã được tóm tắt ở đây. Dùng khi cần verify số liệu cụ thể."
F009,2024SIADatabook_tableofcontents.pdf,SIA 2024 Annual Databook – Table of Contents,Data Catalog (ToC only),SIA (Semiconductor Industry Association),2024,6,PDF,English,ARCHIVE,ToC only — index data series SIA có gì,Semiconductor Industry Historical Data Index,50+ data series; Sales; Capacity; Trade; Pricing,SIA; databook; table of contents; historical data; semiconductor data series; sales data; capacity data; trade data; pricing; market data; time series; annual data,ToC listing 50+ data series including: global sales by region/product/company; fab capacity; wafer shipments; equipment sales; R&D; employment; trade flows,Index only — references to full databook series (not included); covers data from 1990s to 2024,SIA; databook; data index; historical; time series; 2024,/mnt/project/2024SIADatabook_tableofcontents.pdf,ToC only — 6 pages. The actual databook data is purchased separately. Useful to know which data series SIA tracks.,"## SIA 2024 Annual Databook — Table of Contents (Dec 2024, 6pp)
### Nguồn: SIA — index của 50+ data series lịch sử (full databook cần mua riêng)

### Data Series Available (mua riêng):
- Global semiconductor sales by region (Americas, Europe, Japan, Asia Pacific, China)
- Sales by product type: Logic, Memory (DRAM/NAND), Analog, Micro, Sensors, Discrete, Opto
- Sales by end market: Mobile, PC, Data Center, Auto, Industrial, Gov/Military
- Manufacturing: wafer starts by region, fab capacity, equipment spending
- Trade: US exports/imports by country, top trading partners
- Company-level: top 10/20/50 firms by revenue, US vs non-US share
- R&D: industry-wide investment as % of sales
- Employment: US headcount by function
- Data range: 2001–2023 (some series từ 1990s)
- Source: WSTS + SIA Annual Financial Surveys + SEC filings

### Lý do Archive: ToC only — 6 trang. Actual data phải truy cập qua SIA membership. Dùng như index để biết data nào SIA track."
F010,Report_EmergingResilienceintheSemiconductorSupplyChain.pdf,Emerging Resilience in the Semiconductor Supply Chain (Full Report),Industry Report,BCG (Boston Consulting Group) + SIA,2024,38,PDF,English,CORE,"BCG+SIA Full Report — dữ liệu $2.3T, 38pp nghiên cứu chính",Semiconductor Supply Chain Resilience & Geographic Diversification,CHIPS Act impact; $2.3T investment forecast; EDA; Materials; Equipment; Manufacturing,semiconductor supply chain; resilience; BCG; SIA; CHIPS Act; geographic diversification; $2.3 trillion investment; 2032 forecast; EDA; IP; materials; equipment; front-end; back-end; packaging; OSAT; concentration risk; geopolitics; US; Taiwan; Korea; China; Europe; India,Executive Summary; Introduction; Expansion of Government Incentives; Resilience in the Semiconductor Supply Chain; Looking Ahead—Pathway to Greater Resilience; Future Needs of the Industry; Appendix,$2.3T cumulative investment by 2032; Cost efficiency $45B-$125B/year from global supply chain; 35%-65% lower prices vs localized; Manufacturing capacity share by region (2024 vs 2032 projections); EDA/IP diversification trends,BCG; SIA; supply chain; resilience; investment; 2032; geopolitics; CHIPS Act; diversification,/mnt/project/Report_EmergingResilienceintheSemiconductorSupplyChain.pdf,"May 2024. 5th in BCG×SIA series (prior: Mar2020, Sep2020, Mar2021, Nov2022). Most comprehensive supply chain forecast report. Authors: Varadarajan, Koch-Weser, Richard et al.",
